Country,Region,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Population,Ranking_unemployment,Ranking_median_age,Gini coefficient,Average Temperature,Liters of pure alcohol
Sri Lanka,South Asia,4.442,9.491,0.826,67.15,0.787,-0.03,0.808,"23,326,272",133.0,104.0,39.3,27.24,2.58
Uganda,Africa,4.432,7.716,0.794,58.913,0.701,0.114,0.857,"47,729,952",40.0,226.0,42.7,23.14,6.82
Chad,Africa,4.397,7.261,0.722,53.125,0.677,0.221,0.807,"18,523,165",9.0,223.0,37.5,27.28,0.55
Cambodia,East and Southeast Asia,4.393,8.385,0.747,61.9,0.958,0.073,0.857,"16,891,245",3.0,152.0,37.9,27.25,4.56
Benin,Africa,4.374,8.103,0.437,56.095,0.743,-0.043,0.576,"14,219,908",13.0,221.0,37.8,28.09,1.25
Myanmar,n/a,4.372,8.404,0.787,61.388,0.727,0.491,0.658,n/a,n/a,n/a,n/a,23.96,n/a
Bangladesh,South Asia,4.282,8.685,0.544,64.548,0.845,0.005,0.698,"167,184,465",98.0,142.0,32.4,25.74,0.0
Gambia,n/a,4.279,7.648,0.584,57.9,0.596,0.364,0.883,n/a,n/a,n/a,n/a,28.46,n/a
Mali,Africa,4.198,7.655,0.593,55.403,0.713,-0.028,0.846,"21,359,722",48.0,224.0,36.1,29.19,0.6
Egypt,Africa,4.17,9.367,0.726,63.503,0.732,-0.183,0.58,"109,546,720",142.0,175.0,31.5,23.23,0.14
Togo,Africa,4.137,7.673,0.595,57.449,0.657,0.024,0.74,"8,703,961",23.0,196.0,42.4,27.47,1.4
Jordan,Middle East,4.12,9.13,0.729,67.6,0.77,-0.15,0.687,"11,086,716",203.0,171.0,33.7,19.77,0.25
Ethiopia,Africa,4.091,7.739,0.782,60.698,0.72,0.273,0.789,"116,462,712",62.0,201.0,35.0,23.45,1.16
Liberia,Africa,4.042,7.277,0.596,56.7,0.735,0.154,0.83,"5,506,280",45.0,205.0,35.3,25.47,3.12
India,South Asia,4.036,8.759,0.608,60.777,0.897,0.072,0.774,"1,399,179,585",84.0,139.0,35.7,25.2,3.09
Madagascar,Africa,4.019,7.29,0.65,58.05,0.522,0.075,0.742,"28,812,195",50.0,193.0,42.6,22.7,0.89
Zambia,Africa,3.982,8.074,0.694,55.032,0.791,0.098,0.818,"20,216,029",121.0,218.0,57.1,21.92,3.82
Tanzania,Africa,3.694,7.857,0.653,59.401,0.838,0.182,0.554,"65,642,682",33.0,213.0,40.5,22.9,7.81
Comoros,Africa,3.545,8.075,0.471,59.425,0.47,-0.014,0.727,"888,378",118.0,181.0,45.3,23.74,0.18
Malawi,Africa,3.495,7.302,0.531,58.475,0.75,0.005,0.749,"21,279,597",97.0,202.0,38.5,22.55,2.04
Botswana,Africa,3.435,9.629,0.753,54.725,0.742,-0.215,0.83,"2,417,596",211.0,159.0,53.3,22.0,5.98
Congo (Kinshasa),n/a,3.207,7.007,0.652,55.375,0.664,0.086,0.834,n/a,n/a,n/a,n/a,n/a,n/a
Zimbabwe,Africa,3.204,7.641,0.69,54.05,0.654,-0.046,0.766,"15,418,674",158.0,191.0,50.3,21.83,3.11
Sierra Leone,Africa,3.138,7.394,0.555,54.9,0.66,0.105,0.858,"8,908,040",55.0,208.0,35.7,26.64,3.22
Lebanon,Middle East,2.392,9.478,0.53,66.149,0.474,-0.141,0.891,"5,331,203",178.0,89.0,31.8,15.66,1.14
Afghanistan,South Asia,1.859,7.324,0.341,54.712,0.382,-0.081,0.847,"39,232,003",193.0,203.0,29.4,14.48,0.01
